node,mean_score,std_score,boot_times,stability_score,city
bus_BV09136337,3.4050226236747205,0.0407793322320662,10,83.49871374328431,Xuzhou
bus_BV10141960,0.8529773756086845,0.014700122715721594,10,58.02514794280984,Xuzhou
bus_BV10142296,0.6923841681223688,0.016318287188620408,10,42.42992759104816,Xuzhou
bus_BV10719321,1.5240623531875372,0.05180552928169699,10,29.41890721183925,Xuzhou
bus_BV10142196,0.41022445550155917,0.02202413170131544,10,18.626126777828425,Xuzhou
bus_BV11356405,0.5200855178620699,0.03252308074598477,10,15.991269769656764,Xuzhou
bus_BV10142194,0.5117564795343038,0.03233135118445894,10,15.828485432908256,Xuzhou
bus_BV10542418,0.5714532112572541,0.03613208579924541,10,15.81566744515242,Xuzhou
bus_BV10142303,0.3675003583959853,0.0356787329659182,10,10.300260823287323,Xuzhou
bus_BV10690266,0.09505765297261541,0.00979662236738012,10,9.703094839929811,Xuzhou
bus_BV11430593,0.2293723469794287,0.06533104035006923,10,3.5109239136729364,Xuzhou
bus_BV10849781,0.033423140416653105,0.009724385608990221,10,3.437040383852067,Xuzhou
bus_BV11300176,0.06785837046888547,0.025125159365002914,10,2.7008124595333487,Xuzhou
bus_BV10600263,0.03552115939561458,0.04432317937792026,10,0.8014125313217996,Xuzhou
bus_BV10625257,-0.014340504359892838,0.014783492444115535,10,-0.970034294248111,Xuzhou
bus_BV10985569,-0.08557913123771972,0.05142766216257513,10,-1.6640677603914034,Xuzhou
bus_BV10497185,-0.025181878138919457,0.014916410297951146,10,-1.6881984843493802,Xuzhou
bus_BV10141898,-0.11176825713858943,0.05866561442056664,10,-1.9051745931712334,Xuzhou
bus_BV10141838,-0.1254791653259711,0.030256960699753626,10,-4.147115934742033,Xuzhou
bus_BV09134148,-0.2227728081029599,0.04937992365486919,10,-4.511403552300905,Xuzhou
bus_BV10760578,-0.17537977608395033,0.037673463847614795,10,-4.655258944087368,Xuzhou
bus_BV11319592,-0.18501415334011037,0.03606497820343939,10,-5.130021180000448,Xuzhou
bus_BV09232705,-0.11815431518550343,0.020771961176332378,10,-5.688160944500475,Xuzhou
bus_BV10457174,-0.2708861091035104,0.04666141874306325,10,-5.805353937941317,Xuzhou
bus_BV10142322,-0.3776878165980603,0.04581972753811419,10,-8.242906592031186,Xuzhou
bus_BV10630302,-0.1180301319990805,0.013931877711659935,10,-8.471941092397566,Xuzhou
bus_BV10706213,-0.1651414884389559,0.019364495629993046,10,-8.528050836638641,Xuzhou
bus_BV10714025,-0.27100432221837595,0.029475419856086343,10,-9.194244953900702,Xuzhou
bus_BV10637631,-0.26843413697574936,0.027993769384175485,10,-9.589063816352416,Xuzhou
bus_BV10141828,-0.1908585509480421,0.014606209338815176,10,-13.066937208100569,Xuzhou
bus_BV10141853,-0.22424381143727773,0.01604064497969213,10,-13.979716646307523,Xuzhou
bus_BV11590226,-0.2921784433179907,0.01878049538303763,10,-15.557538913829411,Xuzhou
bus_BV10142015,-0.21492547893337283,0.013549862788731546,10,-15.861807877053346,Xuzhou
bus_BV10690276,-0.27141273173121594,0.017034197894642774,10,-15.933393170373053,Xuzhou
bus_BV10141855,-0.2738789355261696,0.01667595286438386,10,-16.42357552325293,Xuzhou
bus_BV11674790,-0.357921573628622,0.021737350885935976,10,-16.46573268515758,Xuzhou
bus_BV11185774,-0.3153291290774306,0.016532249201959188,10,-19.073565519712023,Xuzhou
bus_BV10861215,-0.3796642117666541,0.01983998632072922,10,-19.136304545075614,Xuzhou
bus_BV10142302,-0.39215965054923246,0.019247934721605596,10,-20.37410519519197,Xuzhou
bus_BV09046887,-0.20915497168357425,0.008552139591711435,10,-24.456421095145817,Xuzhou
bus_BV09178191,-0.3942789410280174,0.015743041763146438,10,-25.044632194566066,Xuzhou
bus_BV10142281,-0.4099139049750787,0.01592134816575521,10,-25.746164410568355,Xuzhou
bus_BV10759748,-0.3005588446699903,0.010732326298427677,10,-28.004978255668632,Xuzhou
bus_BV10142304,-0.40363416406094615,0.014050201252861749,10,-28.72797830557415,Xuzhou
bus_BV10569746,-0.3433471659510605,0.011120450989575283,10,-30.875263738879745,Xuzhou
bus_BV11562664,-0.40888729393339923,0.012415011708186046,10,-32.93488352612326,Xuzhou
bus_BV10141908,-0.3393233731184349,0.010276365065011997,10,-33.019753655521015,Xuzhou
bus_BV10141865,-0.40892340150928835,0.01224355676984513,10,-33.39904205990301,Xuzhou
bus_BV10380972,-0.2550515745580338,0.007270383606769388,10,-35.08084821165087,Xuzhou
bus_BV10593878,-0.39619906672649996,0.005025390369215856,10,-78.83930385994725,Xuzhou
